Tdiv	N1	N2	Nadm	s	Fonset	Tonset	admrate	Tadm	SELCOEFF	PP1N1	PP2N2	TONSET1	TSPLIT1	TSPLIT2	TONSET2	TSAMPLE	ALPHA1	ALPHA2
2000	10000	1000	10000	0.01	0.25	880	0.05	10	0.1	1000	100	4114	4200	4201	4202	4202	0.05	0.95
1000	1000	10000	10000	0.01	0.25	650	0.05	10	0.1	100	1000	4037	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.01	0.25	650	0.05	10	0.1	100	1000	4087	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.01	0.25	650	0.05	10	0.1	100	1000	4137	4200	4201	4202	4202	0.05	0.95
1000	10000	10000	10000	0.01	0.25	880	0.05	10	0.1	1000	1000	4014	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.01	0.25	880	0.05	10	0.1	1000	1000	4064	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.01	0.25	880	0.05	10	0.1	1000	1000	4114	4200	4201	4202	4202	0.05	0.95
500	1000	1000	1000	0.05	0.25	130	0.05	10	0.5	100	100	4039	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	1000	0.05	0.25	130	0.05	10	0.5	100	100	4089	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.05	0.25	130	0.05	10	0.5	100	100	4139	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.05	0.25	130	0.05	10	0.5	100	100	4189	4200	4201	4202	4202	0.05	0.95
500	10000	1000	1000	0.05	0.25	176	0.05	10	0.5	1000	100	4034	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	1000	0.05	0.25	176	0.05	10	0.5	1000	100	4084	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.05	0.25	176	0.05	10	0.5	1000	100	4134	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.05	0.25	176	0.05	10	0.5	1000	100	4184	4200	4201	4202	4202	0.05	0.95
500	1000	10000	1000	0.05	0.25	130	0.05	10	0.5	100	1000	4039	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	1000	0.05	0.25	130	0.05	10	0.5	100	1000	4089	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.05	0.25	130	0.05	10	0.5	100	1000	4139	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.05	0.25	130	0.05	10	0.5	100	1000	4189	4200	4201	4202	4202	0.05	0.95
500	10000	10000	1000	0.05	0.25	176	0.05	10	0.5	1000	1000	4034	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	1000	0.05	0.25	176	0.05	10	0.5	1000	1000	4084	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.05	0.25	176	0.05	10	0.5	1000	1000	4134	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.05	0.25	176	0.05	10	0.5	1000	1000	4184	4200	4201	4202	4202	0.05	0.95
500	1000	1000	10000	0.05	0.25	130	0.05	10	0.5	100	100	4039	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	10000	0.05	0.25	130	0.05	10	0.5	100	100	4089	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.05	0.25	130	0.05	10	0.5	100	100	4139	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.05	0.25	130	0.05	10	0.5	100	100	4189	4200	4201	4202	4202	0.05	0.95
500	10000	1000	10000	0.05	0.25	176	0.05	10	0.5	1000	100	4034	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	10000	0.05	0.25	176	0.05	10	0.5	1000	100	4084	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.05	0.25	176	0.05	10	0.5	1000	100	4134	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.05	0.25	176	0.05	10	0.5	1000	100	4184	4200	4201	4202	4202	0.05	0.95
500	1000	10000	10000	0.05	0.25	130	0.05	10	0.5	100	1000	4039	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	10000	0.05	0.25	130	0.05	10	0.5	100	1000	4089	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.05	0.25	130	0.05	10	0.5	100	1000	4139	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.05	0.25	130	0.05	10	0.5	100	1000	4189	4200	4201	4202	4202	0.05	0.95
500	10000	10000	10000	0.05	0.25	176	0.05	10	0.5	1000	1000	4034	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	10000	0.05	0.25	176	0.05	10	0.5	1000	1000	4084	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.05	0.25	176	0.05	10	0.5	1000	1000	4134	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.05	0.25	176	0.05	10	0.5	1000	1000	4184	4200	4201	4202	4202	0.05	0.95
500	1000	1000	1000	0.1	0.25	65	0.05	10	1	100	100	4045	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	1000	0.1	0.25	65	0.05	10	1	100	100	4095	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.1	0.25	65	0.05	10	1	100	100	4145	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.1	0.25	65	0.05	10	1	100	100	4195	4200	4201	4202	4202	0.05	0.95
500	10000	1000	1000	0.1	0.25	88	0.05	10	1	1000	100	4043	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	1000	0.1	0.25	88	0.05	10	1	1000	100	4093	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.1	0.25	88	0.05	10	1	1000	100	4143	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.1	0.25	88	0.05	10	1	1000	100	4193	4200	4201	4202	4202	0.05	0.95
500	1000	10000	1000	0.1	0.25	65	0.05	10	1	100	1000	4045	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	1000	0.1	0.25	65	0.05	10	1	100	1000	4095	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.1	0.25	65	0.05	10	1	100	1000	4145	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.1	0.25	65	0.05	10	1	100	1000	4195	4200	4201	4202	4202	0.05	0.95
500	10000	10000	1000	0.1	0.25	88	0.05	10	1	1000	1000	4043	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	1000	0.1	0.25	88	0.05	10	1	1000	1000	4093	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.1	0.25	88	0.05	10	1	1000	1000	4143	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.1	0.25	88	0.05	10	1	1000	1000	4193	4200	4201	4202	4202	0.05	0.95
500	1000	1000	10000	0.1	0.25	65	0.05	10	1	100	100	4045	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	10000	0.1	0.25	65	0.05	10	1	100	100	4095	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.1	0.25	65	0.05	10	1	100	100	4145	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.1	0.25	65	0.05	10	1	100	100	4195	4200	4201	4202	4202	0.05	0.95
500	10000	1000	10000	0.1	0.25	88	0.05	10	1	1000	100	4043	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	10000	0.1	0.25	88	0.05	10	1	1000	100	4093	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.1	0.25	88	0.05	10	1	1000	100	4143	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.1	0.25	88	0.05	10	1	1000	100	4193	4200	4201	4202	4202	0.05	0.95
500	1000	10000	10000	0.1	0.25	65	0.05	10	1	100	1000	4045	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	10000	0.1	0.25	65	0.05	10	1	100	1000	4095	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.1	0.25	65	0.05	10	1	100	1000	4145	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.1	0.25	65	0.05	10	1	100	1000	4195	4200	4201	4202	4202	0.05	0.95
500	10000	10000	10000	0.1	0.25	88	0.05	10	1	1000	1000	4043	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	10000	0.1	0.25	88	0.05	10	1	1000	1000	4093	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.1	0.25	88	0.05	10	1	1000	1000	4143	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.1	0.25	88	0.05	10	1	1000	1000	4193	4200	4201	4202	4202	0.05	0.95
1000	1000	1000	1000	0.01	0.5	760	0.05	10	0.1	100	100	4026	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.01	0.5	760	0.05	10	0.1	100	100	4076	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.01	0.5	760	0.05	10	0.1	100	100	4126	4200	4201	4202	4202	0.05	0.95
1000	10000	1000	1000	0.01	0.5	990	0.05	10	0.1	1000	100	4003	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.01	0.5	990	0.05	10	0.1	1000	100	4053	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.01	0.5	990	0.05	10	0.1	1000	100	4103	4200	4201	4202	4202	0.05	0.95
1000	1000	10000	1000	0.01	0.5	760	0.05	10	0.1	100	1000	4026	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.01	0.5	760	0.05	10	0.1	100	1000	4076	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.01	0.5	760	0.05	10	0.1	100	1000	4126	4200	4201	4202	4202	0.05	0.95
1000	10000	10000	1000	0.01	0.5	990	0.05	10	0.1	1000	1000	4003	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.01	0.5	990	0.05	10	0.1	1000	1000	4053	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.01	0.5	990	0.05	10	0.1	1000	1000	4103	4200	4201	4202	4202	0.05	0.95
1000	1000	1000	10000	0.01	0.5	760	0.05	10	0.1	100	100	4026	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.01	0.5	760	0.05	10	0.1	100	100	4076	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.01	0.5	760	0.05	10	0.1	100	100	4126	4200	4201	4202	4202	0.05	0.95
1000	10000	1000	10000	0.01	0.5	990	0.05	10	0.1	1000	100	4003	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.01	0.5	990	0.05	10	0.1	1000	100	4053	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.01	0.5	990	0.05	10	0.1	1000	100	4103	4200	4201	4202	4202	0.05	0.95
1000	1000	10000	10000	0.01	0.5	760	0.05	10	0.1	100	1000	4026	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.01	0.5	760	0.05	10	0.1	100	1000	4076	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.01	0.5	760	0.05	10	0.1	100	1000	4126	4200	4201	4202	4202	0.05	0.95
1000	10000	10000	10000	0.01	0.5	990	0.05	10	0.1	1000	1000	4003	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.01	0.5	990	0.05	10	0.1	1000	1000	4053	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.01	0.5	990	0.05	10	0.1	1000	1000	4103	4200	4201	4202	4202	0.05	0.95
500	1000	1000	1000	0.05	0.5	152	0.05	10	0.5	100	100	4037	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	1000	0.05	0.5	152	0.05	10	0.5	100	100	4087	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.05	0.5	152	0.05	10	0.5	100	100	4137	4150	4151	4152	4152	0.05	0.95
